id,title,details,year,image,source
212,Chewing gum (chicle-based),chicle-based,1870,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
213,Telegraph,1791–1872,1872,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
214,Barbed wire,most popular,1873,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
215,Electromagnetic theory of light,electromagnetic theory,1873,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
216,Electric cooking utensil,first,1874,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
217,Carpet sweeper,,1876,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
218,4-stroke internal combustion engine,operating four-stroke,1876,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
219,Telephone,,1876,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
220,Telephone patented,,1876,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
221,“Canals” of Mars,,1877,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
222,Concrete,reinforced,1877,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
223,Phonograph,,1877,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
224,Refrigerator ship,first,1877,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
225,Saccharin,,1879,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
226,Seismograph,first accurate,1880,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
227,Electric Fan,fan,1882,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
228,Electric iron,flatiron,1882,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
229,Tuberculosis bacterium,,1882,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
230,Cholera bacterium,,1883,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
231,Man-made Fibers,"nitrocellulose fibers treated to change flammable nitrocellulose to harmless cellulose, precursor of rayon",1883,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
232,Motorcycle,motor tricycle,1884,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
233,Pen,fountain,1884,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
234,Automobile (250 rpm),"first with internal combustion engine, 250 rpm",1885,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
235,Automobile (900 rpm),"first with practical high-speed internal combustion engine, 900 rpm",1885,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
236,Rabies immunization,,1885,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
237,Coca-Cola,,1886,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
238,Radio,"spark coil, generator of electromagnetic waves",1886,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
239,Antibiotics (first demonstration of antibiotic effect),first demonstration of antibiotic effect,1887,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
240,Electrocardiography,,1887,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
241,Hand-held Camera,hand-held,1888,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
242,Brazil abolishes slavery,,1888,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
243,"Antitoxin, diphtheri",,1890,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
244,Automobile (first carburetor),"carburetor, spray",1892,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
245,Motion pictures,,1893,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
246,X-rays,X-rays,1895,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
247,Electric Stove,stove,1896,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
248,Uranium radioactivity,radioactivity of uranium,1896,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
249,Adrenaline,,1897,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
250,Electron,,1897,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
251,Aspirin,,1899,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
252,Tape recorder,magnetic steel tape,1899,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
253,Airship (rigid),rigid,1900,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
254,Astronomical calculator,,1900,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
255,Quantum theory,general,1900,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
256,Tractor,,1900,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
257,Yellow Fever,transmission of,1900,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
258,Razor,"safety, successfully marketed",1901,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
259,Psychoanalysis,,1904,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
260,Radar,limited to one-mile range,1904,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
261,Gyrocompass,,1905,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
262,Intelligence testing,,1905,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
263,Electric washing machine,washing machine,1906,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
264,Wassermann test,for syphilis,1906,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
265,E=mc2,equivalence of mass and energy,1907,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
266,Sulfa drugs,"parent compound, para-aminobenzenesulfanomide",1908,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
267,Conditioned reflex,,1910,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
268,Air conditioning,,1911,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
269,Rutherford model of an atom,"formulated nuclear model of atom, Rutherford model",1911,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
